model_id,checkpoint,dataset,protocol,shot,seed,accuracy,macro_f1,status,source_output
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,MSTAR_SOC,finetune,10,0,67.50,63.90,confirmed_single_seed,few_shot_classification/finetune/output_phyd_sfafm7_every2_sweep
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,New_FUSAR,finetune,10,2,83.40,,confirmed_partial_3_of_5,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,New_FUSAR,finetune,10,3,81.20,,confirmed_partial_3_of_5,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,New_FUSAR,finetune,10,4,81.90,,confirmed_partial_3_of_5,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,New_FUSAR,finetune,20,0,83.90,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,New_FUSAR,finetune,20,1,84.30,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,New_FUSAR,finetune,20,2,84.60,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,New_FUSAR,finetune,20,3,84.10,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,New_FUSAR,finetune,20,4,84.80,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,New_FUSAR,finetune,40,0,86.80,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,New_FUSAR,finetune,40,1,87.20,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,New_FUSAR,finetune,40,2,86.70,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,New_FUSAR,finetune,40,3,87.70,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,New_FUSAR,finetune,40,4,87.00,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,10,0,53.90,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,10,1,55.50,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,10,2,51.10,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,10,3,52.00,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,10,4,57.60,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,20,0,59.70,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,20,1,61.90,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,20,2,60.00,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,20,3,57.80,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,20,4,62.40,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,40,0,76.00,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,40,1,67.30,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,40,2,70.40,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,40,3,69.90,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,40,4,73.20,73.10,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
